from,to,weight,relationship,konfliktpotenzial,timedefinition
hvp,fp,1,2,1,3
hvp,vk,3,4,1,3
hvp,jok,3,3,1,3
hvp,jv,3,4,1,3
hvp,bv,3,4,1,3
hvp,mg,3,4,1,3
hvp,jg,3,4,1,3
avp,pvp,4,1,1,3
avp,fp,1,2,1,3
avp,vk,3,4,1,3
avp,jok,3,3,1,3
avp,jv,3,4,1,3
avp,bv,3,4,1,3
avp,mg,3,4,1,3
avp,jg,3,4,1,3
pvp,fp,1,2,1,3
pvp,vk,1,4,1,3
pvp,jok,1,2,1,3
pvp,jv,1,4,1,3
pvp,bv,1,4,1,3
pvp,mg,1,4,1,3
pvp,jg,1,4,1,3
fp,vk,3,4,1,3
fp,jok,3,3,1,3
fp,jv,3,4,1,3
fp,bv,3,4,1,3
fp,mg,3,4,1,3
fp,jg,3,4,1,3
vk,jok,3,3,99,3
vk,jv,3,3,99,3
vk,bv,3,3,99,3
vk,ml,3,3,99,3
vk,jg,3,3,99,3
jok,jv,3,3,99,3
jok,bv,3,3,99,3
jok,mg,3,3,99,3
jok,jg,3,3,99,3
jv,bv,4,1,99,3
jv,mg,3,3,99,3
jv,jg,3,3,99,3
bv,mg,3,3,99,3
bv,jg,3,3,99,3
mg,jg,5,1,99,3
af,of,4,1,2,4
af,ef,4,1,4,4
af,mf,3,1,3,4
af,hvp,3,2,2,4
af,avp,2,2,4,4
af,pvp,2,2,1,4
af,fp,2,2,4,4
af,vk,1,4,1,4
af,jk,1,2,1,4
af,jv,1,4,1,4
af,bv,1,4,1,4
af,mg,1,4,1,4
af,jg,1,4,1,4
af,ki,3,3,99,4
of,ef,5,1,2,4
of,mf,4,1,1,4
of,hvp,1,2,2,4
of,avp,2,2,4,4
of,pvp,1,2,1,4
of,fp,2,2,3,4
of,vk,3,4,1,4
of,jok,3,3,1,4
of,jv,3,4,1,4
of,bv,3,4,1,4
of,mg,3,4,1,4
of,jg,3,4,1,4
ef,mf,4,1,1,4
ef,hvp,1,2,3,4
ef,avp,2,2,4,4
ef,pvp,1,2,1,4
ef,fp,2,2,3,4
ef,vk,3,4,1,4
ef,jok,3,3,1,4
ef,jv,3,4,1,4
ef,bv,3,4,1,4
ef,mg,3,4,1,4
ef,jg,3,4,1,4
mf,hvp,1,2,1,4
mf,avp,1,2,1,4
mf,pvp,1,2,1,4
mf,fp,1,2,1,4
mf,vk,1,4,1,4
mf,jok,1,2,1,4
mf,jv,1,4,1,4
mf,bv,1,4,1,4
mf,mg,1,4,1,4
mf,jg,1,4,1,4
hvp,avp,5,1,4,4
hvp,pvp,4,1,1,4
hvp,fp,1,2,2,4
hvp,vk,3,4,1,4
hvp,jok,3,3,1,4
hvp,jv,3,4,1,4
hvp,bv,3,4,1,4
hvp,mg,3,4,1,4
hvp,jg,3,4,1,4
avp,pvp,4,1,1,4
avp,fp,1,2,2,4
avp,vk,3,4,1,4
avp,jok,3,3,1,4
avp,jv,3,4,1,4
avp,bv,3,4,1,4
avp,mg,3,4,1,4
avp,jg,3,4,1,4
pvp,fp,1,2,1,4
pvp,vk,1,4,1,4
pvp,jok,1,2,1,4
pvp,jv,1,4,1,4
pvp,bv,1,4,1,4
pvp,mg,1,4,1,4
pvp,jg,1,4,1,4
fp,vk,3,4,1,4
fp,jok,3,3,1,4
fp,jv,3,4,1,4
fp,bv,3,4,1,4
fp,mg,3,4,1,4
fp,jg,3,4,1,4
vk,jok,3,3,99,4
vk,jv,3,3,99,4
vk,bv,3,3,99,4
vk,mg,3,3,99,4
vk,jg,3,3,99,4
vk,wvm,2,2,99,4
jok,jv,3,3,99,4
jok,bv,3,3,99,4
jok,mg,3,3,99,4
jok,jg,3,3,99,4
jok,wvm,2,2,99,4
jv,bv,4,1,99,4
jv,mg,3,3,99,4
jv,jg,3,3,99,4
jv,wvm,2,2,99,4
bv,mg,3,3,99,4
bv,jg,3,3,99,4
bv,wvm,2,2,99,4
mg,jg,5,1,99,4
mg,wvm,2,2,99,4
af,of,5,1,3,5
af,ef,2,1,4,5
af,mf,3,1,3,5
af,hvp,1,2,3,5
af,avp,3,2,3,5
af,pvp,5,3,1,5
af,fp,2,2,3,5
af,vk,1,4,1,5
af,jok,1,2,1,5
af,jv,1,4,1,5
af,bv,1,4,1,5
af,mg,1,4,1,5
af,jg,1,4,1,5
af,ki,4,3,99,5
of,ef,5,1,1,5
of,mf,4,1,2,5
of,hvp,2,2,3,5
of,avp,2,2,3,5
of,pvp,3,3,1,5
of,fp,2,2,3,5
of,vk,3,4,1,5
of,jok,3,3,1,5
of,jv,3,4,1,5
of,bv,3,4,1,5
of,mg,3,4,1,5
of,jg,3,4,1,5
ef,mf,4,1,2,5
ef,hvp,2,2,4,5
ef,avp,2,2,4,5
ef,pvp,1,2,1,5
ef,fp,2,2,3,5
ef,vk,3,4,1,5
ef,jok,3,3,1,5
ef,jv,3,4,1,5
ef,bv,3,4,1,5
ef,mg,3,4,1,5
ef,jg,3,4,1,5
mf,hvp,1,2,1,5
mf,avp,1,2,1,5
mf,pvp,3,3,1,5
mf,fp,1,2,1,5
mf,vk,1,4,1,5
mf,jok,1,2,1,5
mf,jv,1,4,1,5
mf,bv,1,4,1,5
mf,mg,1,4,1,5
mf,jg,1,4,1,5
hvp,avp,5,1,4,5
hvp,pvp,2,1,3,5
hvp,fp,2,2,3,5
hvp,vk,3,4,1,5
hvp,jok,3,3,1,5
hvp,jv,3,4,1,5
hvp,bv,3,4,1,5
hvp,mg,3,4,1,5
hvp,jg,3,4,1,5
avp,pvp,3,1,3,5
avp,fp,3,3,3,5
avp,vk,3,4,1,5
avp,jok,3,3,1,5
avp,jv,3,4,1,5
avp,bv,3,4,1,5
avp,mg,3,4,1,5
avp,jg,3,4,1,5
pvp,fp,2,2,3,5
pvp,vk,3,4,1,5
pvp,jok,3,3,1,5
pvp,jv,3,4,1,5
pvp,bv,3,4,1,5
pvp,mg,3,4,1,5
pvp,jg,3,4,1,5
fp,vk,3,4,1,5
fp,jok,3,3,1,5
fp,jv,3,4,1,5
fp,bv,3,4,1,5
fp,mg,3,4,1,5
fp,jg,3,4,1,5
vk,jok,3,3,99,5
vk,jv,3,3,99,5
vk,bv,3,3,99,5
vk,mg,3,3,99,5
vk,jg,3,3,99,5
vk,wvm,2,2,99,5
jok,jv,3,3,99,5
jok,bv,3,3,99,5
jok,mg,3,3,99,5
jok,jg,3,3,99,5
jok,wvm,2,2,99,5
jv,bv,4,1,99,5
jv,mg,3,3,99,5
jv,jg,3,3,99,5
jv,wvm,2,2,99,5
bv,mg,3,3,99,5
bv,jg,3,3,99,5
bv,wvm,2,2,99,5
mg,jg,5,1,99,5
mg,wvm,2,2,99,5
ss,af,1,2,99,2
ss,eb,1,2,99,2
ss,rc,1,2,99,2
ss,mvdv,1,2,99,2
ss,hk,1,2,99,2
ss,jdb,1,2,99,2
ss,lb,1,2,99,2
ss,adm,1,2,99,2
ss,ls,1,2,99,2
ss,rs,1,2,99,2
ss,pp,1,2,99,2
ss,jk,1,2,99,2
ss,has,1,2,99,2
ss,wj,1,2,99,2
ss,sasa,1,2,99,2
ss,ar,1,2,99,2
ss,ku,1,2,99,2
ss,ke,1,2,99,2
af,eb,1,2,99,2
eb,rc,1,2,99,2
eb,mvdv,1,2,99,2
eb,hk,1,2,99,2
eb,jdb,1,2,99,2
eb,lb,1,2,99,2
eb,adm,1,2,99,2
eb,ls,1,2,99,2
eb,rs,1,2,99,2
eb,pp,1,2,99,2
eb,jk,1,2,99,2
eb,has,1,2,99,2
eb,wj,1,2,99,2
eb,sasa,1,2,99,2
eb,ar,1,2,99,2
eb,ku,1,2,99,2
eb,ke,1,2,99,2
af,rc,2,2,2,2
rc,mvdv,1,2,99,2
rc,hk,1,2,99,2
rc,jdb,1,2,99,2
rc,lb,1,2,99,2
rc,adm,1,2,99,2
rc,ls,1,2,99,2
rc,rs,1,2,99,2
rc,pp,1,2,99,2
rc,jk,1,2,99,2
rc,has,1,2,99,2
rc,wj,1,2,99,2
rc,sasa,1,2,99,2
rc,ar,1,2,99,2
rc,ku,1,2,99,2
rc,ke,1,2,99,2
mvdv,af,1,2,99,2
mvdv,mc,1,2,99,2
mvdv,hk,1,2,99,2
mvdv,jdb,1,2,99,2
mvdv,lb,1,2,99,2
mvdv,adm,1,2,99,2
mvdv,ls,1,2,99,2
mvdv,rs,1,2,99,2
mvdv,pp,1,2,99,2
mvdv,jk,1,2,99,2
mvdv,has,1,2,99,2
mvdv,wj,1,2,99,2
mvdv,sasa,1,2,99,2
mvdv,ar,1,2,99,2
mvdv,ku,1,2,99,2
mvdv,ke,1,2,99,2
af,hk,2,2,99,2
hk,jdb,1,2,99,2
hk,lb,1,2,99,2
hk,adm,1,2,99,2
hk,ls,1,2,99,2
hk,rs,1,2,99,2
hk,pp,1,2,99,2
hk,jk,1,2,99,2
hk,has,1,2,99,2
hk,wj,1,2,99,2
hk,sasa,1,2,99,2
hk,ar,1,2,99,2
hk,ku,1,2,99,2
hk,ke,1,2,99,2
af,jdb,2,2,99,2
jdb,lb,3,3,99,2
jdb,adm,1,2,99,2
jdb,ls,1,2,99,2
jdb,rs,1,2,99,2
jdb,has,1,2,99,2
jdb,wj,1,2,99,2
jdb,sasa,1,2,99,2
jdb,ar,1,2,99,2
jdb,ku,1,2,99,2
jdb,ke,1,2,99,2
af,lb,2,2,99,2
lb,adm,1,2,99,2
lb,ls,1,2,99,2
lb,rs,1,2,99,2
lb,has,1,2,99,2
lb,wj,1,2,99,2
lb,sasa,1,2,99,2
lb,ar,1,2,99,2
lb,ku,1,2,99,2
lb,ke,1,2,99,2
adm,af,3,3,99,2
adm,ls,1,2,99,2
adm,rs,1,2,99,2
adm,has,1,2,99,2
adm,wj,1,2,99,2
adm,sasa,1,2,99,2
adm,ar,1,2,99,2
adm,ku,1,2,99,2
adm,ke,1,2,99,2
ls,af,1,2,99,2
ls,rs,1,2,99,2
ls,has,1,2,99,2
ls,wj,1,2,99,2
ls,sasa,1,2,99,2
ls,ar,1,2,99,2
ls,ku,1,2,99,2
ls,ke,1,2,99,2
rs,af,1,2,99,2
rs,has,1,2,99,2
rs,wj,1,2,99,2
rs,sasa,1,2,99,2
rs,ar,1,2,99,2
rs,ku,1,2,99,2
rs,ke,1,2,99,2
has,af,1,2,99,2
has,wj,1,2,99,2
has,jk,1,2,99,2
has,pp,1,2,99,2
has,sasa,1,2,99,2
has,ar,1,2,99,2
